PID,Rep,L_Midfoot_X,L_Midfoot_Y,L_Midfoot_Z,R_Midfoot_X,R_Midfoot_Y,R_Midfoot_Z,R_Hip_X,R_Hip_Y,R_Hip_Z,R_Knee_X,R_Knee_Y,R_Knee_Z,R_Ankle_X,R_Ankle_Y,R_Ankle_Z,L_Hip_X,L_Hip_Y,L_Hip_Z,L_Knee_X,L_Knee_Y,L_Knee_Z,L_Ankle_X,L_Ankle_Y,L_Ankle_Z,R_KneeAngle_X,R_KneeAngle_Y,R_KneeAngle_Z,L_KneeAngle_X,L_KneeAngle_Y,L_KneeAngle_Z
mP001,1,-0.041611,0.217602,0.021572,-0.047278,-0.168748,0.02033,-0.31527,-0.116584,0.513195,0.043329,-0.149657,0.349561,-0.145866,-0.14214,0.087485,-0.328331,0.153668,0.523164,0.042479,0.212182,0.341803,-0.137564,0.195289,0.084694,14.266944,98.694481,0.07191,-16.364962,94.894012,1.164701
mP001,2,-0.039161,0.200648,0.021713,-0.058198,-0.17594,0.019856,-0.329219,-0.115505,0.48449,0.039406,-0.15197,0.345244,-0.155917,-0.147799,0.087653,-0.337078,0.156277,0.496189,0.047748,0.18724,0.338585,-0.134362,0.171196,0.083022,14.579479,103.65097,0.296794,-17.173553,98.369431,3.203812
mP001,3,-0.05933,0.194497,0.021478,-0.076125,-0.203273,0.020469,-0.355519,-0.122947,0.464253,0.019724,-0.158485,0.345624,-0.172949,-0.168221,0.086301,-0.360838,0.148895,0.473197,0.030118,0.175639,0.335649,-0.156019,0.16877,0.082129,14.935821,106.029694,-0.281367,-17.922283,101.606049,3.944724
mP001,4,-0.037397,0.227942,0.021021,-0.044901,-0.190176,0.019278,-0.297414,-0.10786,0.466317,0.072348,-0.146605,0.333804,-0.139123,-0.155315,0.08888,-0.310429,0.16229,0.474514,0.074681,0.200717,0.323113,-0.130609,0.195008,0.083602,14.786236,107.690002,0.629498,-18.275713,103.152054,4.120006
mP001,5,-0.094786,0.237164,0.022015,-0.093582,-0.193167,0.019344,-0.360327,-0.128351,0.43843,0.019735,-0.14641,0.334537,-0.189048,-0.159479,0.087818,-0.387963,0.139936,0.451622,0.002838,0.206178,0.331422,-0.187851,0.197031,0.080475,15.227469,111.612335,0.31616,-18.365211,104.506042,3.460437
mP001,6,-0.08784,0.274762,0.021391,-0.102456,-0.155859,0.019131,-0.348149,-0.070163,0.455559,0.021918,-0.123716,0.329994,-0.194438,-0.11664,0.089407,-0.352672,0.199462,0.464855,0.032465,0.232962,0.316263,-0.180879,0.239898,0.083178,14.637568,110.000999,1.514949,-18.62623,104.823212,4.133269
mP001,7,-0.144641,0.274574,0.02289,-0.143125,-0.15495,0.021205,-0.438087,-0.090512,0.451251,-0.057086,-0.10921,0.350185,-0.241051,-0.118318,0.084497,-0.458408,0.179873,0.462847,-0.063745,0.22783,0.33974,-0.240758,0.240817,0.080434,15.220874,106.868584,-0.937634,-17.891209,101.722893,3.717159
mP001,8,-0.101406,0.280163,0.021497,-0.096425,-0.156339,0.019958,-0.366932,-0.086088,0.455782,0.008238,-0.122962,0.341314,-0.192047,-0.120465,0.087091,-0.386679,0.18184,0.463873,0.000686,0.244377,0.329324,-0.194515,0.244416,0.082671,15.004596,108.094284,0.074973,-17.929155,103.866447,2.320883
mP001,9,-0.163231,0.266111,0.021936,-0.160805,-0.162703,0.020743,-0.440654,-0.095574,0.46201,-0.065724,-0.130125,0.34689,-0.257454,-0.125764,0.085796,-0.457208,0.173389,0.467836,-0.068873,0.228367,0.333229,-0.258034,0.232665,0.081795,14.864956,106.144966,-0.013281,-17.906609,102.378029,3.268527
mP001,10,-0.130488,0.278873,0.021751,-0.1498,-0.158472,0.020146,-0.413378,-0.070619,0.457305,-0.040273,-0.11655,0.339102,-0.243465,-0.11718,0.086924,-0.422265,0.198606,0.468019,-0.032069,0.235915,0.330478,-0.225989,0.248533,0.082152,15.149707,107.843231,-0.423104,-18.248444,102.657707,4.406079
mP003,1,-0.107086,0.271466,0.019506,-0.109987,-0.254545,0.015708,-0.34935,-0.128966,0.397632,0.019453,-0.285335,0.38681,-0.189322,-0.17565,0.094298,-0.337028,0.135073,0.386177,0.019683,0.28031,0.407597,-0.175377,0.184137,0.095317,5.619258,125.733795,-2.188761,-9.747086,127.149475,-1.369273
mP003,2,-0.151759,0.277606,0.020215,-0.150612,-0.278983,0.016119,-0.384941,-0.138162,0.377586,-0.020673,-0.30549,0.386535,-0.228526,-0.197298,0.093267,-0.362377,0.125402,0.364612,-0.005917,0.267911,0.401469,-0.21319,0.183527,0.093786,6.380372,128.147278,-3.156488,-10.660363,130.419037,-0.569743
mP003,3,-0.108026,0.290419,0.020725,-0.097282,-0.304206,0.017361,-0.34713,-0.141052,0.356913,0.01205,-0.315693,0.401188,-0.177296,-0.220294,0.089829,-0.322136,0.12404,0.344506,0.030795,0.268025,0.406382,-0.170421,0.195147,0.09191,5.395515,129.208252,-1.879072,-10.720295,132.468216,-0.724121
