PID,Rep,L_Midfoot_X,L_Midfoot_Y,L_Midfoot_Z,R_Midfoot_X,R_Midfoot_Y,R_Midfoot_Z,R_Hip_X,R_Hip_Y,R_Hip_Z,R_Knee_X,R_Knee_Y,R_Knee_Z,R_Ankle_X,R_Ankle_Y,R_Ankle_Z,L_Hip_X,L_Hip_Y,L_Hip_Z,L_Knee_X,L_Knee_Y,L_Knee_Z,L_Ankle_X,L_Ankle_Y,L_Ankle_Z,R_KneeAngle_X,R_KneeAngle_Y,R_KneeAngle_Z,L_KneeAngle_X,L_KneeAngle_Y,L_KneeAngle_Z
mP001,1,0.035715,0.231978,0.022822,0.033128,-0.179897,0.021311,-0.26454,-0.099788,0.497876,0.098233,-0.172665,0.36309,-0.067749,-0.153478,0.085055,-0.270576,0.166191,0.501474,0.108731,0.234205,0.347855,-0.062196,0.214243,0.084372,14.057967,98.817413,1.373325,-16.479242,97.365479,-0.281291
mP001,2,0.035684,0.230915,0.022315,0.033381,-0.178819,0.02171,-0.2723,-0.090782,0.486435,0.096557,-0.158357,0.363896,-0.067806,-0.151811,0.084711,-0.273869,0.178179,0.486189,0.115293,0.219272,0.34371,-0.062271,0.213498,0.083883,14.173625,100.190605,1.118251,-16.865242,99.979851,0.20668
mP001,3,0.036116,0.232724,0.022808,0.033485,-0.180332,0.022677,-0.280359,-0.082955,0.474383,0.091382,-0.157363,0.365807,-0.06806,-0.150217,0.083661,-0.284228,0.185147,0.474241,0.110347,0.224616,0.34602,-0.062498,0.214884,0.083194,14.290977,101.17556,0.815704,-17.068478,101.147545,0.474129
mP001,4,0.035448,0.235183,0.023646,0.032812,-0.180447,0.023396,-0.283605,-0.089318,0.470917,0.090863,-0.153286,0.365158,-0.069329,-0.151787,0.084087,-0.292108,0.178877,0.475018,0.102585,0.226773,0.349379,-0.063637,0.216429,0.082975,14.373161,101.799744,0.617641,-16.957949,100.505394,0.342759
mP001,5,0.03579,0.234595,0.024096,0.033056,-0.178818,0.022147,-0.278567,-0.100914,0.477337,0.094598,-0.152118,0.363745,-0.068651,-0.1517,0.084257,-0.296369,0.166807,0.481378,0.096741,0.222208,0.352728,-0.063725,0.214593,0.082285,14.504962,101.158546,-0.206854,-16.761415,98.746597,0.483483
mP001,6,0.036637,0.233196,0.022474,0.033891,-0.176848,0.02121,-0.254169,-0.101776,0.497629,0.111215,-0.14798,0.356427,-0.066238,-0.149367,0.08568,-0.270282,0.167355,0.499993,0.112094,0.227763,0.34634,-0.061069,0.213352,0.083705,14.133704,99.74707,1.205523,-16.404551,97.717804,-1.044589
mP001,7,0.036684,0.23408,0.022504,0.03296,-0.179163,0.020962,-0.260787,-0.099738,0.47815,0.108614,-0.162903,0.357418,-0.067085,-0.152269,0.08581,-0.269745,0.168153,0.481511,0.117798,0.223404,0.342024,-0.061011,0.212889,0.083299,14.217221,102.800591,1.556321,-16.834291,100.636887,-0.351325
mP001,8,0.035984,0.235488,0.022649,0.032415,-0.178915,0.021099,-0.259469,-0.099972,0.483118,0.1096,-0.154392,0.356165,-0.067855,-0.152438,0.085769,-0.272431,0.167868,0.488365,0.112905,0.230274,0.344643,-0.062063,0.21649,0.083601,14.332355,101.962814,0.848707,-16.705191,99.455322,-0.320114
mP001,9,0.036423,0.233724,0.022383,0.033263,-0.177896,0.020915,-0.251203,-0.102984,0.496611,0.114419,-0.14969,0.354344,-0.066639,-0.151008,0.085985,-0.263588,0.166696,0.498861,0.119714,0.216268,0.341523,-0.06131,0.215125,0.08396,14.328407,100.102478,0.278751,-16.731955,98.184769,0.736916
mP001,10,0.036605,0.235342,0.022886,0.032732,-0.178861,0.021397,-0.262658,-0.091826,0.482808,0.107795,-0.139652,0.35655,-0.068117,-0.152204,0.085086,-0.28167,0.176201,0.489135,0.106273,0.236897,0.348572,-0.061601,0.214916,0.083116,14.497509,101.301163,-0.119089,-16.590544,98.800049,-0.563435
